Producto,Categoría,Ingredientes,Energía (kcal),Grasas (g),Proteínas (g),Hidratos de Carbono (g),Azúcares (g),Segmento
Pain de mie grandes tranches Seigle & Graines 500g,cereals,"Farine de BLÉ* 41 % , eau, graines de lin brun 6,1 %, graines de lin jaune 6,1 %, graines de tournesol décortiquées 6 %, farine de SEIGLE 5,1 %, GLUTEN DE BLÉ, farine d'ORGE maltée torréfiée, levure, extrait de malt d'ORGE, sel, vinaigre, arôme naturel (contient alcool), conservateur : propionate de calcium, antioxydant : extrait d'acérola. Traces éventuelles d'œufs, lait, graines de sésame, soja et moutarde. * Ingrédient issu du commerce équitable français.",297,9.6,12.0,37.0,4.2,Bajo en Grasa
Weetabix produit à base de blé complet 100%,cereals,"_Blé_ complet (95%), extrait d'_orge_ maltée, sucre, sel, niacine, fer, vitamines B2, B1 et B9.",362,2.0,12.0,69.0,4.2,Bajo en Grasa
Flocons d'avoine complète,cereals,100% Flocons d'avoine.,375,8.0,11.0,60.0,1.1,Bajo en Grasa
"Muesli Raisin, Figue, Abricot",cereals,"Flocons d'avoine* complète, Flocons de blé* complet, Raisins 12% (raisins*, huile de tournesol*), Figues* séchées 8% (figues*, farine de riz*), Pétales de maïs*, Flocons d'épeautre* complet (blé), Abricots* secs 3% (abricots*, farine de riz*) ✔Graines de tournesol*, Pétales d'épeautre* complet (blé), Graines de lin*, Graines de courge*.
 Peut contenir des traces de lait, de fruits à coque, de graines de sésame et de soja. *Ingrédients biologiques.",352,5.8,11.0,59.0,14.0,Bajo en Grasa
NESTLE CHOCAPIC Céréales 750g,cereals,"BLE complet 35,0%, chocolat en poudre 22,5% (sucre, cacao en poudre*), farine de BLE 17,0%, semoule de maïs, sirop de glucose, sucre, extrait de malt d'ORGE (ORGE, ORGE malté), contient de l'huile de tournesol et/ou de palme, carbonate de calcium, émulsifiant : lécithine ; sel, arômes naturels, fer, vitamines B3, B5, D, B6, B1, B2 et B9. Peut contenir du LAIT et des FRUITS A COQUE.* Bilan massique certifié rainforest Alliance www.ra.org/fr.",388,4.8,8.8,73.6,22.4,Bajo en Grasa
Copos de avena,cereals,Avena integral 100%,375,7.0,14.0,59.0,0.7,Bajo en Grasa
,cereals,corn starch,355,0.5,0.5,86.0,0.5,Bajo en Grasa
Croustillant Chocolat,cereals,"Flocons d'avoine complète, Flocons de blé complet, Chocolat noir 10% (pâte de cacao, sucre de canne non raffiné, beurre de cacao), Riz extrudé (farine de riz), Sucre de canne non raffiné, Farine de blé, Huile de tournesol, Miel, Stabilisant: gomme d'acacia, Mélasses, Flocons de noix de coco, Sel marin, Cannelle, Antioxydant: extrait riche en tocophérols",437,15.0,9.7,61.0,15.0,Alta Energía
Weetabix,cereals,"Wholegrain _Wheat_ (95%), Malted _Barley_ Extract, Sugar, Salt, Niacin, Iron, Riboflavin (B2), Thiamin (B1), Folic Acid.",362,2.0,12.0,69.0,4.2,Bajo en Grasa
Corn Flakes,cereals,"corn, sugar, aroma of malt of barley, salt, vitamins and minerals : vitamin b3/pp, vitamin b6, vitamin b2, vitamin b1, vitamin b9, vitamin d, vitamin b12, iron,",378,0.9,7.0,84.0,8.0,Bajo en Grasa
Special Muesli 30% fruits & noix,cereals,"Céréales complètes flocons d'avoine, flocons de blé, flocons de blé grillés noix raisins secs, raisins de sultane, abricots secs hachés, tranches de pommes séchées, éclats de noix de coco grillés, noisettes hachées grillées, amandes effilées flocons d'orge, graines de tournesol.",362,7.2,10.2,59.6,17.2,Bajo en Grasa
Spaghetti n°5,cereals,"Semoule de BLÉ dur, eau. Peut contenir des traces de SOJA et de MOUTARDE.",359,2.0,13.0,71.0,3.5,Bajo en Grasa
Ziegenfrischkäse Natur,cheeses,"Ziegenfrischkäse, Salz",177,13.0,11.0,4.0,3.5,Otro
Carré frais 0%,cheeses,"Lait écrémé, sel, ferments lactiques",78,0.2,17.5,1.5,1.5,Bajo en Grasa
Caprice des dieux,cheeses,"pasteurized cow's milk and cream from france, salt, lactic ferments (milk)",333,30.0,15.0,0.8,0.1,Otro
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,cheeses,"_Fromage_ frais, sel de Guérande 1,1%",252,24.0,5.9,3.0,3.0,Otro
Salakis 100% Brebis,cheeses,sheep cheese,272,22.8,15.7,0.8,0.8,Alta Proteína
Carré frais,cheeses,"whole milk, cream, salt, lactic ferments,",193,15.0,12.0,2.5,2.5,Otro
St Môret,cheeses,"_lait_ et _crème_ pasteurisés (Origine: France), protéines du _lait_, sel",205,17.8,8.3,3.0,3.0,Otro
La bûche Sainte-Maure (Poitou-Charentes,cheeses,"goat's milk (origin france), salt, ferments, coagulant,",291,23.0,20.0,1.0,1.0,Alta Proteína
PRESIDENT CAMEMBERT 250g,cheeses,"LAIT (origine France), ferments lactiques et d'affinage, sel",269,21.0,20.0,0.0,0.0,Alta Proteína
Coulommiers Doux et Crémeux,cheeses,"cow's milk, salt, ferments (contain milk),",283,23.0,18.0,1.0,0.1,Alta Proteína
President emmental coeur de meule 250g,cheeses,"LAIT pasteurisé de vache , sel, ferments.",369,29.0,27.0,0.5,0.5,Alta Proteína
Le Goût Primeur format familial,cheeses,"Lait et crème pasteurisés (Origine : France), protéines du lait, sel,",205,17.8,8.3,3.0,3.0,Otro
Caprice des dieux,cheeses,"lait de vache pasteurisé de France, sel, ferments lactiques (lait),",333,30.0,15.3,0.8,0.1,Alta Proteína
Paysan Breton - Le Fromage Fouetté Madame Loïk - Nature au Sel de Guérande,cheeses,"Fromage frais, sel de Guérande 1,1%",252,24.0,5.9,3.0,3.0,Otro
Kiri-Käse,cheeses,"pasteurized fresh milk 53% (origin: france), cream 32% (origin: france), water, milk proteins, milk mineral concentrate, lactic ferments, salt,",305,29.0,9.0,2.0,2.0,Otro
SKYR,cheeses,"Lait écrémé, ferments lactiques (lait). Lait: Origine France",57,0.2,10.0,3.9,3.9,Bajo en Grasa
La vache qui rit,cheeses,"LAIT écrémé réhydraté (origine : France), FROMAGES, BEURRE, concentré des minéraux du LAIT, sel de fonte : polyphosphates, protéines de LAIT, concentré LACTIQUE LAITIER.",228,17.5,11.5,6.0,6.0,Otro
Kiri® Crème 12 portions,cheeses,"LAIT frais pasteurisé 53% (origine : France), CRÈME 32% (origine : France), eau, concentré des minéraux du LAIT, protéines de LAIT, ferments LACTIQUES, sel.",305,29.0,9.0,2.0,2.0,Otro
Leerdammer original 8 tranches 200g,cheeses,"LAIT pasteurisé, sel, ferments LACTIQUES, enzyme coagulante microbienne",352,27.5,26.0,0.1,0.1,Alta Proteína
L'original tartare ail & fines herbes,cheeses,"Lait et crème pasteurisés (origine: France), ail et fines herbes (2,6%), sel, poivre. Peut contenir des fruits à coque.",348,34.5,7.0,2.3,2.3,Otro
